KODE;NAVN_NORSK;NAVN_ENGELSK;NAVN_LATINSK
"AAS";"Edelkreps (ferskvann)";"Noble crayfish (European crayfish)";"Astacus astacus"
"ABZ";"Sm�sil";"Small sandeel";"Ammodytes tobianus"
"ACH";"R�ye";"Arctic char";"Salvelinus alpinus"
"AES";"Blomsterreke";"Aesop shrimp";"Pandalus montagui"
"AJC";"Butare";"Babberlocks";"Alaria esculenta"
"AJH";"Koralldyr";"Corals";"Anthozoa"
"AKL";"Brungylt";"Scale-rayed wrasse";"Acantholabrus palloni"
"ALB";"Albakor";"Albacore";"Thunnus alalunga"
"ALC";"Baird's slickhead (smooth-head) *";"Baird's slickhead (smooth-head)";"Alepocephalus bairdii"
"ALE";"Alewife *";"Alewife";"Alosa pseudoharengus"
"ALF";"Beryx, alfonsinos";"Alfonsinos";"Beryx"
"ALV";"Revehai";"Tresher";"Alopias vulpinus"
"AMS";"Saltsj�kreps";"Brine shrimp";"Artemia salina"
"ANE";"Ansjos";"European anchovy";"Engraulis encrasicolus"
"ANF";"Andre av breiflabbfamilien";"Anglerfishes";"Lophiidae"
"ANG";"American angler *";"American angler";"Lophius americanus"
"ANI";"Mackerel icefish*";"Mackerel icefish";"Champsocephalus gunnari"
"ANS";"Antarctic silverfish*";"Antarctic silverfish";"Pleuragramma antarcticum"
"ANT";"Bl� antimora";"Blue antimora (Blue hake)";"Antimora rostrata"
"APB";"Sibirsk st�r";"Siberian sturgeon";"Acipenser baerii"
"APG";"Russisk st�r";"Danube sturgeon (=Osetr)";"Acipenser gueldenstaedtii)"
"API";"Deep-water catsharks *";"Deep-water catsharks";"Apristurus"
"APL";"Annen tang og tare";"Aquatic plants";"Algae"
"APR";"Sterlet st�r";"Sterlet sturgeon";"Acipenser ruthenus"
"APU";"St�r";"Sturgeon";"Acipenser sturio"
"ARG";"Str�msild/Vassild";"Argentines";"Argentina spp."
"ARU";"Vassild";"Greater argentine";"Argentina silus"
"ARY";"Str�msild";"Argentine";"Argentina sphyraena"
"ASK";"Havengler, uspes.";"Angelsharks, sand devils nei";"Squatinidae"
"ASN";"Grisetang";"North Atlantic rockweed";"Ascophyllum nodosum"
"ATG";"Istorsk";"Arctic Cod";"Arctogadus glacialis"
"BEL";"Hvithval";"Beluga(= White whale)";"Delphinapterus leucas"
"BEN";"Annen horngjel";"Needlefishes etc. nei";"Belonidae"
"BET";"Bigeye tuna *";"Bigeye tuna";"Thunnus obesus"
"BEW";"Nebbhval";"Beaked whale";"Berardius bairdii"
"BFT";"Makrellst�rje";"Atlantic bluefin tuna";"Thunnus thynnus"
"BFU";"Sj�tre";"Bubble gum coral";"Paragorgia arborea"
"BHG";"Nordlig lysprikkfisk";"Glacier lanternfish";"Benthosema glaciale"
"BIB";"Skjeggtorsk";"Pouting";"Trisopterus luscus"
"BLI";"Bl�lange";"Blue ling";"Molva dypterygia"
"BLL";"Slettvar";"Brill";"Scophthalmus rhombus"
"BLU";"Bluefish *";"Bluefish";"Pomatomus saltratix"
"BLW";"Bl�hval";"Blue whale";"Balaenoptera musculus"
"BOC";"Villsvinfisk";"Boarfish";"Capros aper"
"BOE";"Black oreo *";"Black oreo";"Allocyttus niger"
"BOG";"Oks�yefisk";"Bogue";"Boops boops"
"BON";"Stripet pelamide";"Atlantic bonito";"Sarda sarda"
"BOW";"Tumler";"Northern bottlenose whale";"Hyperoodon ampullatus"
"BRF";"Bl�kjeft";"Bluemouth";"Helicolenus dactylopterus"
"BRW";"Brydehval";"Bryde?s whale";"Balaenoptera edeni"
"BSF";"Dolkfisk/tr�dstjert";"Black scabbardfish";"Aphanopus carbo"
"BSH";"Bl�hai";"Blueshark";"Prionace glauca"
"BSK";"Brugde";"Basking shark";"Cetorhinus maximus"
"BSS";"Havabbor";"European seabass";"Dicentrarchus labrax"
"BTB";"S�lvbrasme";"Atlantic fanfish";"Pterycombus brama"
"BUM";"Atlantic blue marlin *";"Atlantic blue marlin";"Makaira nigricans"
"BUT";"Atlantic (American) butterfish*";"Atlantic (American) butterfish";"Peprilus triacanthus"
"BWD";"Kvitnos";"White beaked dolphin";"Lagenorhynchus albirostris"
"BWW";"Spisshval";"Sowerby's whale";"Mesoplodon bidens"
"BXL";"Fj�rerur";"Semibalanus balanoides **";"Semibalanus balanoides"
"CAA";"Gr�steinbit";"Atlantic wolffish (= Catfish)";"Anarhichas lupus"
"CAB";"Bl�steinbit";"Northern wolffish";"Anarhichas denticulatus"
"CAP";"Lodde";"Capelin";"Mallotus villosus"
"CAS";"Flekksteinbit";"Spotted wolffish (= Catfish)";"Anarhichas minor"
"CAT";"Steinbiter";"Wolffishes (= Catfishes)";"Anarhichas spp."
"CCT";"Sand tiger shark *";"Sand tiger shark";"Carcharias taurus"
"CEP";"Blekksprut uspes.";"Cephalopods";"Cephalopoda"
"CET";"Wedge sole (Senegal) *";"Wedge sole (Senegal)";"Dicologlossa cuneata"
"CFB";"Islandsh�";"Black dogfish";"Centroscyllium fabriciil"
"CGO";"Gullfisk";"Goldfish";"Carassius auratus"
"CHR";"Annen r�ye";"Chars";"Salvelinus spp."
"CLB";"Atlantic surf clam *";"Atlantic surf clam";"Spisula solidissima"
"CLJ";"Asiatisk teppeskjell (Manilaskjell)";"Japanese carpet shell";"Ruditapes philippinarum"
"CLQ";"Kuskjell";"Ocean quahog";"Cyprina islandica"
"CLS";"Sandskjell";"Sand gaper";"Mya arenaria"
"CLU";"Annen sildefisk";"Clupeoids";"Clupeoidei"
"CLX";"Annen skjell";"Clams,etc,nei";"Bivalvia"
"CMO";"Havmus";"Rabbit fish (ratfish)";"Chimaera monstrosa"
"COC";"Saueskjell";"Common cockle";"Cardium edule"
"COD";"Torsk";"Atlantic cod";"Gadus morhua"
"COE";"Hav�l";"European conger";"Conger conger"
"COH";"Coho laks";"Coho salmon";"Oncorhynchus kisutch"
"COW";"Navagotorsk";"Wachna cod";"Eleginus nawaga"
"COX";"Annen �l";" Congers, eels";"Congridae"
"COZ";"Hjerteskjell";"Cockles nei";"Cardiidae"
"CPM";"Dvergretthval";"Pigmy whale";"Caperea marginata"
"CPR";"Common prawn *";"Common prawn";"Palaemon serratus"
"CQL";"Spiritist";"Hollowsnout grenadier";"Caelorinchus caelorhincus"
"CRA";"Annen krabbe";"Marine crabs";"Reptantia"
"CRE";"Taskekrabbe";"Edible crab";"Cancer pagurus"
"CRG";"Strandkrabbe";"(European) Green crab";"Carcinus maenas"
"CRN";"Reke av Crangonidaeslekten";"Crangonid shrimps nei";"Crangonidae"
"CRQ";"Sn�krabbe";"Queen crab (snow crab)";"Chionoecetes opilio"
"CRS";"Sv�mmekrabber";"Swim crab";"Portunus spp."
"CRU";"Andre krepsdyr";"Marine crustaceans";"Crustacea"
"CRW";"Langust";"Palinurid spiny lobsters nei";"Palinurus spp."
"CSH";"Hestereke";"Common shrimp";"Crangon crangon"
"CTG";"Rutet teppeskjell";"Grooved carpet shell";"Ruditapes decussatus"
"CTL";"Annen ti-armet blekksprut";"Cuttlefishes";"Sepiidae, Sepiolidae"
"CUS";"Pink cusk-eel*";"Pink cusk-eel";"Genypterus blacodes"
"CYA";"Brun havmus";"Smalleyed ratfish";"Hydrolagus affinis"
"CYH";"Bl�vinget havmus";"Large-eyed rabbitfish";"Hydrolagus mirabilis"
"CYO";"Dypvannsh�";"Portugese dogfish";"Squamosus"
"CYP";"Bunnh�";"Longnose velvet dogfish";"Centroscymnus crepidater"
"DAB";"Sandflyndre";"Common dab";"Limanda limanda"
"DAI";"Sebrafisk";"Zebra danio";"Danio rerio"
"DCA";"Gr�h�";"Birdbeak dogfish";"Deania calceus"
"DCO";"Delfin";"Common dolphin";"Delphinus delphis"
"DEC";"Common dentex *";"Common dentex";"Dentex dentex"
"DEL";"Largeeye dentex *";"Largeeye dentex";"Dentex macrophthalmus"
"DEX";"Dentex *";"Dentex";"Dentex spp."
"DGH";"Annen h�";"Dogfishes and hounds";"Squalidae  Scyliorhinidae"
"DGS";"Piggh�";"Picked dogfish";"Squalus acanthias"
"DGX";"H�er, uspes.";"Dogfish sharks nei";"Squalidae"
"DUS";"Dusky shark *";"Dusky shark";"Cacharinus obscurus"
"EAG";"�rneskate";"Eagle rays";"Myliobatidae"
"ECH";"Andre pigghuder";"Echinoderms";"Echinodermata"
"ELC";"Electron subantarctic*";"Electron subantarctic";"Electrona carlsbergi"
"ELE";"�l";"European eel";"Anguilla anguilla"
"ELP";"�lekvabbe";"Eelpout";"Zoearces viviparus"
"ELZ";"Ulvefisk";"Greater eelpout";"Lycodes esmarkii"
"ENX";"Gressgylt";"Rock cook";"Centrolabrus exoletus"
"EOI";"Vanlig �ttearmet blekksprut";"Horned octopus";"Eledone cirrhosa"
"EPI";"Dyphavsabbor";"Black cardinal fish (Bull's eye)";"Epigonus telescopus"
"ETX";"Svarth�";"Velvet belly";"Etmopterus spinax"
"FAC";"R�dglassreke";"Crimson pasiphaeid";"Pasiphaea tarda"
"FAL";"Silkehai";"Silky shark";"Cacharhinus falciformis"
"FBM";"Vanlig ferskvannsbrasme";"Freshwater bream";"Abramis brama"
"FBR";"Ferskvannsbrasme, uspes.";"Freshwater breams nei";"Abramis spp"
"FBU";"Lake";"Burbot";"Lota lota"
