KODE;NAVN_NORSK;NAVN_ENGELSK
"DRB";"Skrape, mekanisert";"Dredges - boat dredges"
"DRH";"Skrape, manuell";"Dredges - hand dredges"
"FAR";"Traps - aerial traps*";"Traps - aerial traps"
"FCN";"Senkbart redskap, not";"Falling gear - cast nets"
"FG";"Senkbart redskap, uspesifiert";"Falling gear (not specified)"
"FIX";"Udefinerte bur og ruser";"Traps (not specified)"
"FPN";"Traps - stationary uncovered pout-nets*";"Traps - stationary uncovered pout-nets"
"FPO";"Teiner";"Traps - pots"
"FSN";"Traps - stow nets*";"Traps - stow nets"
"FWR";"Traps - barriers, fences, weirs,etc*";"Traps - barriers, fences, weirs,etc"
"FYK";"Ruser";"Traps - fyke nets"
"GEN";"Gillnets and entangling nets (unspec)*";"Gillnets and entangling nets (unspec)"
"GN";"Udefinert garn";"Gillnets (not specified)"
"GNC";"Encircling gillnets*";"Encircling gillnets"
"GND";"Drivgarn";"Drift nets"
"GNF";"Fixed gillnets (on stakes)*";"Fixed gillnets (on stakes)"
"GNS";"Settegarn";"Set gillnets (anchored)"
"GTN";"Combines gillnets-trammel nets*";"Combined gillnets-trammel nets"
"GTR";"Trammel nets*";"Trammel nets"
"HAR";"Harpun,div.";"Harpoons"
"HMD";"Mekanisk skrape";"Mechanized dredges"
"HMP";"Harvesting machines - pumps*";"Harvesting machines - pumps"
"HMX";"Skjellskrape";"Harvesting machines (not specified)"
"LA";"Surrounding nets -without purse lines";"Surrounding nets -without purse lines"
"LHM";"Juksa/pilk, mekanisert";"Hand- and pole-lines (mechanized)"
"LHP";"Juksa/pilk, manuell";"Hand- and pole-lines (hand operated)"
"LL";"Andre liner";"Longlines (not specified)"
"LLD";"Flyteline";"Drifting longlines"
"LLS";"Setteline";"Set longlines (longlines set)"
"LN";"L�ftenot, uspesifisert";"Lift nets (not specified)"
"LNB";"L�ftenot, fra fart�y";"Lift nets - boat operated lift nets"
"LNP";"L�ftenot, portabel";"Lift nets - portable lift nets"
"LNS";"L�ftenot, fra land";"Lift nets -shore operated,stationary"
"LTL";"Dorg/harp/snik";"Trolling lines"
"LX";"Udefinert krokredskap";"Hooks and lines (not specified)"
"MIS";"Annet og uspesifisert";"Miscellaneous gear"
"NK";"Uspesifisert/uoppgitt redskap";"Gear not known or not specified"
"OT";"Udefinert tr�l";"Otter trawls (not specified)"
"OTB";"Bunntr�l, otter";"Bottom trawls - otter trawls"
"OTM";"Flytetr�l, otter";"Midwater trawls - otter trawls"
"OTT";"Otter dobbeltr�l";"Otter twin trawls"
"PS";"Snurpenot/ringnot";"Surrounding nets -with purse lines"
"PS1";"Snurpenot/ringnot, et fart�y";"Surrounding nets-purse seines,one boat"
"PS2";"Snurpenot/ringnot, to fart�y";"Sorrounding nets -purse seines,two boats"
"PT";"Partr�l, uspesifisert";"Pair trawls (not specified)"
"PTB";"Bunntr�l, par";"Bottom trawl - pair trawls"
"PTM";"Flytetr�l, par";"Midwater trawls - pair trawls"
"RG";"Recreational fishing gear*";"Recreational fishing gear"
"SB";"Landnot";"Beach seines"
"SDN";"Snurrevad, dansk";"Boat /vessel seines -Danish seines"
"SPR";"Boat /vessel seines -Pair seines";"Boat /vessel seines -Pair seines"
"SSC";"Snurrevad, skotsk";"Boat /vessel seines -Scottish seines"
"SV";"Snurrevad";"Boat /vessels seines"
"SX";"Udefinert not";"Seine nets, not specified"
"TB";"Bunntr�l (uspes)";"Bottom trawls (not specified)"
"TBB";"Bunntr�l, bom";"Bottom trawl - beam trawl"
"TBN";"Bunntr�l, kreps";"Bottom trawl - nethrops trawls"
"TBS";"Bunntr�l, reke";"Bottom trawl -shrimp trawls"
"TM";"Flytetr�l, uspesifisert";"Midwater trawls (not specified)"
"TMS";"Flytetr�l, reke";"Midwater trawls - shrimp trawls"
"TX";"Annen tr�l (udefinert)";"Other trawls (not specified)"
